soilmec;comacchio;BORT;sedidrill;sandwick;atlas copco;epiroc;ipc;socomafor;beretta;emci;doosan;gemsa;kleem;tec;pagani;eurodrill;krupp;kaeser;hydrogeotechnique;
sm 401;mc600;penetro;sd 250;dx700;XAS 35;roc l6;ipc 450;soco 65;T43;emci 700;14/115;gemrock 45;kr 707;futura;TG3020;HD410;HB 5;M30;hydrofor750;
psm 8;mc800;;;dx800;XAS 60;roc l8;ipc 830;soco 100;T41;;R1090;;;abyss 15;;HD 2004;HB35;M170;;
sm5;mc1200;;;DP 1100I;XAS 90;roc f6;;soco 50/60;;;;;;abyss50;;type 10;hb50;;;
psm980;mc8;;;titon 405;XAS 125;roc f9;;soco 50/65;;;;;;;;;;;;
sm6;geo 305;;;titon500;XAS 175;ecm 660;;;;;;;;;;;;;;
sm9;geo205;;;di 200;XAhs125;ecm 760;;;;;;;;;;;;;;
sm20;mc 450;;;di300;Xahs 175;mustang A65;;;;;;;;;;;;;;
sm18;;;;di 400;xams 186;mustang A66;;;;;;;;;;;;;;
sm22;;;;di 500;xrvs 255;f7cr;;;;;;;;;;;;;;
sr30;;;;di 405;xrvs 276;f9 cr;;;;;;;;;;;;;;
sr45;;;;;xahs146;;;;;;;;;;;;;;;
sr65;;;;;xahs285;;;;;;;;;;;;;;;
sr75;;;;;xahs306;;;;;;;;;;;;;;;
sr95;;;;;xhs347;;;;;;;;;;;;;;;
sf 65;;;;;xas 146;;;;;;;;;;;;;;;
st 60;;;;;xas 67;;;;;;;;;;;;;;;
R208;;;;;xrvs366;;;;;;;;;;;;;;;
R625;;;;;xrv 410;;;;;;;;;;;;;;;
7t 600j;;;;;;;;;;;;;;;;;;;;
cm50;;;;;;;;;;;;;;;;;;;;
cm 70;;;;;;;;;;;;;;;;;;;;
sm 870;;;;;;;;;;;;;;;;;;;;
sr40;;;;;;;;;;;;;;;;;;;;
sr 70;;;;;;;;;;;;;;;;;;;;